hash,author_date,files_changed,insertions,deletions,message_length,label,total_complexity,max_complexity,total_nloc,max_duplication_similarity,security_issues_low,security_issues_medium,security_issues_high
e7615cbc6b4af5985c4e0d4848a426e2d35f79c3,2011-02-13 18:41:18+00:00,1,0,0,12,0,0,0,0,0.0,0,0,0
d0bf5538097cbdee663eddf4e29e9f34106c67cb,2011-02-13 18:52:30+00:00,1,0,0,13,0,0,0,0,0.0,0,0,0
0477018761c67152cdcc0b83d56f27e701e65b9e,2011-02-13 18:52:37+00:00,1,48,0,13,1,1,1,32,0.9972162842750549,2,0,0
75b499dd046060021db0c7a772dd34df9374a30b,2011-02-13 18:52:47+00:00,1,4,0,27,0,0,0,1,0.0,0,0,0
c51b44d96bb460ebea3daee7deeff6b686585087,2011-02-13 18:53:01+00:00,1,13,0,18,0,0,0,0,0.0,0,0,0
72e99c0f49823a5b798f8d15896480b7216c4fba,2011-02-13 18:53:08+00:00,1,0,0,9,0,0,0,0,0.0,0,0,0
ffdbc387ea67398ac123b2ff5a5d69df3e198340,2011-02-13 18:53:15+00:00,1,1,0,9,0,0,0,0,0.0,0,0,0
853a4fd04ce3f4644e204418ee2cd694d9f29180,2011-02-13 18:53:25+00:00,3,4,0,16,0,0,0,1,0.0,0,0,0
a6ffd97ef150f50eb1a0e0e54edf217831011753,2011-02-13 18:56:54+00:00,1,59,0,14,0,0,0,0,0.0,0,0,0
45c6897128c1e20a98cf259101067123a4768793,2011-02-13 20:08:32+00:00,1,52,3,18,0,0,0,0,0.0,0,0,0
23842865e973f9aacd58fa935f1fec5c2069de11,2011-02-13 20:10:54+00:00,1,2,1,13,0,0,0,0,0.0,0,0,0
b079a4e03e1a07ce0dd10a3b17d795c9452c9691,2011-02-13 20:47:00+00:00,1,1,0,24,0,0,0,0,0.0,0,0,0
c840bc7d0962d253afd4c8a72c242cbf2b882dc0,2011-02-13 20:49:34+00:00,1,11,3,13,0,0,0,0,0.0,0,0,0
d6cf93e3989d03dcaa19f92619ddb0021ccb49f4,2011-02-13 20:50:55+00:00,1,1,0,19,0,0,0,0,0.0,0,0,0
d8b19573f38aa84db95a7e4d1f1c0a2fa26517eb,2011-02-13 21:03:47+00:00,1,56,1,21,0,5,5,22,1.0000001192092896,0,0,0
b72e1d19aff997d00ef617a3aa0eea8ccdcc3984,2011-02-13 21:16:36+00:00,1,43,5,9,0,13,13,45,1.0000003576278687,0,0,0
54240b4811b66dc7d5c2738b91994c21023f0e9e,2011-02-13 21:24:14+00:00,1,25,4,11,0,13,13,48,0.9967218041419983,0,0,0
ef9bae8d9f2dc605d4fbcdf24256b6cc82612a2d,2011-02-13 21:41:58+00:00,1,43,9,49,0,18,18,62,1.0000003576278687,0,0,0
32cc197a81502c30715c9e164006dce6debcd1bf,2011-02-13 21:59:01+00:00,1,53,13,5,0,19,19,83,1.0000003576278687,0,0,0
49f915fb90f135082a83f64a21cc901d0b0e4d15,2011-02-13 21:59:13+00:00,1,8,1,12,0,0,0,4,0.0,0,0,0
af272d58276a9d1415a563e4ac763a6207742342,2011-02-13 22:13:10+00:00,1,37,3,31,0,35,35,108,1.0000003576278687,0,0,0
e9c2b917d2ba340e440f3da35846167c86c610a8,2011-02-13 22:17:33+00:00,1,49,14,20,0,41,41,131,0.9995052814483643,0,0,0
d4c1eccb449f538e233623bd5b5e8f350f266e88,2011-02-13 23:03:33+00:00,1,1,2,26,0,0,0,0,0.0,0,0,0
44aa6806f3bf2255c151ec2661b8765ca190c0c4,2011-02-13 23:03:48+00:00,1,41,14,20,0,44,44,148,1.0000003576278687,0,0,0
327d923ce673a13c170446911ceec50529a9253c,2011-02-13 23:07:37+00:00,1,33,1,32,0,47,47,166,0.9987204074859619,0,0,0
4f9d598ff486396d9ad45c7e402abe099dec8f4a,2011-02-13 23:26:17+00:00,1,32,23,49,0,48,48,170,0.9998654127120972,0,0,0
871de2ab23a49dd0beaee4cd8742c54038d16e96,2011-02-13 23:33:50+00:00,1,10,15,12,0,46,46,167,0.9996529817581177,0,0,0
71df02df2c9ab37a8ee40b31f5e28742d1a6cee8,2011-02-13 23:49:02+00:00,1,39,9,44,0,51,51,188,1.0000003576278687,0,0,0
3c32045da05cda554e65d3b943bb1128b2482c7f,2011-02-14 00:02:11+00:00,1,25,35,5,0,52,52,186,0.9999936819076538,0,0,0
6fb1997b6a37f27aeda5e26aebcb886a4d2b817a,2011-02-14 00:04:47+00:00,1,9,6,16,0,52,52,187,0.9999936819076538,0,0,0
7de5726a812c5ae2cb8204e2974b62ca2750c9d0,2011-02-14 00:05:13+00:00,1,4,0,13,0,0,0,0,0.0,0,0,0
f1d9aae10e82e7d122b2172616c7a675971cd0e6,2011-02-14 03:00:31+00:00,1,6,24,33,0,45,45,173,0.9998380541801453,0,0,0
f566bb21400cecf4dfe5a6c7d9bc7fb62abbb57d,2011-02-14 03:50:45+00:00,1,49,48,30,0,45,45,172,0.9999997019767761,0,0,0
59c6aebd606e3c5fb7b684817faa92051fc0295a,2011-02-14 03:53:14+00:00,1,1,1,36,0,45,45,172,0.9990082383155823,0,0,0
2c168d20a5b3ce7bbf711fd70c9a29b9d5c32be7,2011-02-14 03:56:13+00:00,1,0,0,16,0,0,0,0,0.0,0,0,0
4018276b54a644f3529cbe751e8db594056dc9e9,2011-02-14 03:56:20+00:00,1,2,4,6,0,45,45,170,0.0,0,0,0
e796aae504ac3170d01d0be92c87a9c39350bbf9,2011-02-14 04:25:41+00:00,1,63,14,21,0,45,45,172,1.0000003576278687,0,0,0
e403a8a42c3fb94e95c48e71fdb944811a2b45f4,2011-02-14 04:35:43+00:00,1,19,0,23,0,45,45,172,0.9995808601379395,0,0,0
9f4ce17a29ead608a42649b3fec4a85b9911dbc9,2011-02-14 04:35:53+00:00,1,1,1,6,0,1,1,32,0.0,2,0,0
fdd54e14d68123899e61dd651176264b1276f416,2011-02-14 04:51:29+00:00,1,0,1,10,0,45,45,172,0.0,0,0,0
4a3f55997bc73d9ff8312cfae68a028728b49f66,2011-02-14 04:51:37+00:00,1,38,2,27,0,8,8,28,0.9998634457588196,0,5,0
e76fa915341f750dff6f1ac77bc3d77ff7134450,2011-02-14 04:54:42+00:00,4,595,0,20,0,0,0,27,0.0,0,0,0
090fcf14c57e842013b8ecebd536d368d014f2d5,2011-02-14 05:14:50+00:00,1,0,4,10,0,0,0,0,0.0,0,0,0
98d257e0394e6839bef9c8dc1359d02a43eb8bed,2011-02-14 05:15:02+00:00,1,16,0,17,0,0,0,0,0.0,0,0,0
2cc80155cbf758c8e6e948ef5fe52754a996a40b,2011-02-14 05:22:16+00:00,1,11,1,14,0,0,0,0,0.0,0,0,0
839873c77fcdb79a5f3ca0af00abb645f11e516f,2011-02-14 05:23:46+00:00,1,1,0,15,0,0,0,0,0.0,0,0,0
71626dea7e72e63c31742e4368ab9dc136484bbe,2011-02-14 05:24:13+00:00,1,1,1,16,0,0,0,0,0.0,0,0,0
2b54b01ce2726a04f155ef29637b0d5011f965e2,2011-02-14 05:39:16+00:00,1,37,46,20,0,0,0,0,0.0,0,0,0
927294fbd439d96c0cea0750017122102effe9ff,2011-02-14 05:45:28+00:00,1,61,49,18,0,0,0,0,0.0,0,0,0
00d900c575c05473ddd95cdf6adeaaf520687671,2011-02-14 05:47:07+00:00,1,14,14,7,0,0,0,0,0.0,0,0,0
d789badbb25958e8ff5adb7c73dcfbabf583dde3,2011-02-14 05:47:42+00:00,1,24,24,11,0,0,0,0,0.0,0,0,0
a2ecf9c7864a849236c6a9589ac76b05c00244fb,2011-02-14 05:48:08+00:00,1,3,3,7,0,0,0,0,0.0,0,0,0
88b64d271f2f58caadabfa9e5e45ff85c77d3944,2011-02-14 05:50:04+00:00,1,3,3,33,0,0,0,0,0.0,0,0,0
8cca789ba5df5d31f3c923001ee6dc9fcf7f1b1b,2011-02-14 05:50:52+00:00,1,4,8,6,0,0,0,0,0.0,0,0,0
4a3bee6cffadba86342829f4595301b81297ee22,2011-02-14 06:10:44+00:00,1,8,3,20,0,0,0,0,0.0,0,0,0
908d7de7b8ad05c537b8131f076f9112657a77ee,2011-02-14 06:11:27+00:00,1,5,5,28,0,0,0,0,0.0,0,0,0
bb5614253a4fa29832cfbe108829985d5f308e40,2011-02-14 06:12:38+00:00,1,2,0,29,0,0,0,0,0.0,0,0,0
52de0ba0ce72c1f1809b7516d2987937955d7ecd,2011-02-14 06:13:20+00:00,1,1,1,10,0,0,0,0,0.0,0,0,0
d4db03da53fda82cd3ebc75cdb0c2ab89c39d7f6,2011-02-14 06:26:28+00:00,1,1,1,13,0,0,0,0,0.0,0,0,0
c9b0f8f19d3ddce13974d77dcd29147269ae4b15,2011-02-14 06:31:56+00:00,1,3,3,18,0,0,0,0,0.0,0,0,0
7b658388260a8ad24542795670e19c2cdd8767fc,2011-02-14 06:33:41+00:00,1,7,3,10,0,0,0,0,0.0,0,0,0
1b885614760d48c8417d275b5521849633773810,2011-02-14 06:45:07+00:00,1,11,1,13,0,0,0,0,0.0,0,0,0
a42c003cdc43e0ade4fe624db56f405761eb3afc,2011-02-14 06:45:52+00:00,1,2,3,14,0,0,0,0,0.0,0,0,0
7ed73b29a8e6705c0972b8b1d59bc98794d5209c,2011-02-14 06:47:10+00:00,1,1,0,23,0,0,0,0,0.0,0,0,0
d6e7e19100f9f2ccbb95cb98ec2c261a293802f2,2011-02-14 06:47:16+00:00,1,5,6,6,0,0,0,0,0.0,0,0,0
8fd480df3fc0665c90ed9e9c18d0ca4eeab349bd,2011-02-14 07:09:09+00:00,1,1,17,24,0,0,0,0,0.0,0,0,0
18db8b8445951c6b2d77fcb5d4934e8ca2dd1d6e,2011-02-14 07:13:32+00:00,1,1,1,15,0,0,0,1,0.0,0,0,0
bb4577802990599b68820c1b41e231918c50d97c,2011-02-14 07:13:40+00:00,1,13,0,21,0,49,49,184,0.9993441104888916,0,0,0
d2427ecae751a533ddd9026849dd19cfaa3394f4,2011-02-14 07:15:30+00:00,1,2,4,14,0,0,0,0,0.0,0,0,0
f66eafdffdc8fa9a33e97a7c8f0d927ef72a1fdb,2011-02-14 07:35:01+00:00,1,88,90,20,0,49,49,181,1.0000003576278687,0,0,0
d1dc6aa329ef2bc972f9e71a795a9d00c3c46ceb,2011-02-14 07:40:39+00:00,1,19,19,23,0,49,49,181,0.9999998807907104,0,0,0
800b03457b6a80c0310940c03bffe7e6dd5b3286,2011-02-14 07:42:46+00:00,1,1,0,10,0,49,49,181,0.0,0,0,0
19db3ead4cd9bd0d9ac5d4615871ad3dcfde8144,2011-02-14 07:45:09+00:00,1,1,0,26,0,0,0,0,0.0,0,0,0
06b49693834b3ae8b22245ac9d71f15bac3a580d,2011-02-14 07:49:18+00:00,1,1,1,11,0,0,0,0,0.0,0,0,0
9ad8589efd625fe125345a6e1508ee5be78fd547,2011-02-14 08:58:26+00:00,1,1,1,3,0,1,1,32,0.0,2,0,0
d961000b96d2f67de97ccee6d150c30353c9b3c4,2011-02-14 10:15:47+00:00,1,0,1,10,0,49,49,181,0.9998434782028198,0,0,0
8e8604d88bb6dc98a1fa5b0f040ba1a5b6dbc775,2011-02-14 13:55:24+00:00,1,12,0,37,0,0,0,0,0.0,0,0,0
df419fa6fa5db2c539145cc823c7106c00bb2b13,2011-02-14 13:55:55+00:00,4,643,0,17,0,101,66,326,1.0000001192092896,2,0,0
e6d5e5319ecba82021143624c1040d0ad01bce41,2011-02-14 14:01:09+00:00,1,4,2,27,0,49,49,181,0.9997841119766235,0,0,0
221bed27dda5e3c2c051de72b5553c73d6183985,2011-02-14 14:04:35+00:00,1,3,0,40,0,49,49,183,0.0,0,0,0
127bbbb18dccc0bb0522377c7b81b99b63b84a68,2011-02-14 14:04:41+00:00,1,1,0,12,0,0,0,1,0.0,0,0,0
7dd37d5ea91cd26c869a39b5a200136305c6f3bb,2011-02-14 14:27:47+00:00,2,3,2,21,0,0,0,5,0.0,0,0,0
f7abfa8a1426b018b99c9ac3237331b55bf7103c,2011-02-14 14:27:57+00:00,1,23,10,24,0,51,51,192,1.0000003576278687,0,0,0
a16278e85dc1dda84e55f2f63e4d56cb60329601,2011-02-14 14:30:37+00:00,1,4,11,42,0,49,49,184,0.9999998807907104,0,0,0
4c8b428bbd3800cafa0e3764512eb719f67315f0,2011-02-14 14:34:36+00:00,1,4,4,29,0,49,49,184,0.999995768070221,0,0,0
4c192ec5acd4417fe60b5a63ea3c6a5c034c1d45,2011-02-14 14:36:14+00:00,3,5,5,16,0,0,0,6,0.0,0,0,0
3216bda17432dcb0e7480ba0068b927f7ff746b5,2011-02-14 14:45:12+00:00,1,15,7,37,0,51,51,191,0.9998996257781982,0,0,0
ca51bdb16fb5ab43ffd0d5e7b612257d6b2f6371,2011-02-14 14:45:35+00:00,0,704,28,52,0,0,0,0,0.0,0,0,0
